,Class,Handicapped_Infants,Water_Project_Cost_Sharing,Adoption_Budget_Resolution,Physician_Fee_Freeze,El_Salvador_Aid,Religious_Groups_School,Anti_Satellite_Test_Ban,Aid_Nicaraguan_Contras,MX_Missile,Immigration,Synfuels_Corporation_Cutback,Education_Spending,Superfund_Right_To_Sue,Crime,Duty_Free_Exports,Export_Administration_Act_South_Africa,prediction
348,democrat,y,n,y,n,n,n,y,y,y,y,n,y,n,n,y,?,democrat
201,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y,democrat
122,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y,republican
407,democrat,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n,republican
256,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n,republican
413,republican,y,y,y,y,y,y,y,y,n,y,?,?,?,y,n,y,republican
285,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,y,y,democrat
164,democrat,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,?,republican
283,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
4,democrat,y,y,y,n,y,y,n,n,n,n,y,?,y,y,y,y,democrat
233,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
368,democrat,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y,democrat
224,republican,n,y,n,y,y,y,n,n,n,y,n,?,y,y,n,n,republican
185,democrat,y,n,y,n,n,n,y,y,y,y,n,?,n,n,y,y,democrat
173,democrat,n,n,n,n,y,y,n,n,n,y,y,y,y,y,n,y,republican
229,republican,n,y,y,y,y,y,y,n,y,y,n,y,y,y,n,y,republican
47,democrat,y,n,y,n,n,n,y,y,?,n,n,n,n,n,n,?,democrat
295,republican,n,y,n,y,y,y,?,?,n,y,n,y,?,?,?,?,republican
214,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y,republican
286,democrat,n,n,y,n,n,y,?,y,?,y,y,y,n,y,y,?,democrat
309,democrat,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y,y,democrat
5,democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y,democrat
192,democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y,democrat
422,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y,democrat
354,democrat,n,y,y,n,n,y,y,y,y,y,n,?,n,n,y,y,democrat
273,republican,n,n,n,y,y,n,y,y,n,y,n,y,y,y,?,y,republican
17,democrat,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y,democrat
332,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,?,democrat
172,democrat,n,y,y,n,n,n,y,y,y,y,n,n,?,n,y,y,democrat
128,democrat,n,?,y,n,n,y,n,y,n,y,y,n,n,n,y,y,democrat
322,democrat,y,y,y,n,?,y,n,?,n,n,y,n,y,y,n,?,democrat
327,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
307,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,y,n,?,democrat
161,democrat,n,n,n,n,y,y,y,n,n,n,n,y,y,y,n,y,republican
244,democrat,y,n,y,n,n,n,n,y,y,y,n,n,n,n,y,y,democrat
180,democrat,?,?,y,n,n,n,y,y,y,?,?,n,n,n,?,?,democrat
